Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug  5 21:17:38 2023,-0.86,-0.24,0.3,-0.83,-0.25,0.32,-1,-0.38,0.15,-0.78,0.24,-0.13,-0.9,0,-0.21,-0.83,0.2,-0.16,-0.84,0.24,-0.23,-1.03,0.07,-0.15,-0.45,-1.98,-0.09,-0.56,-0.42,-0.67,-0.57,-0.36,-0.8,-0.57,-0.37,-0.8,-0.9,-0.48,-1.16,-1.1,0.06,-0.52
Sat Aug  5 21:18:10 2023,-0.87,-0.28,0.25,-0.88,-0.28,0.25,-0.84,0.14,-0.44,-0.94,-0.08,0.1,-0.78,0.06,-0.15,-0.48,0.02,-0.08,-0.6,0,-0.18,-0.83,-0.12,-0.17,-1.1,0.06,-0.7,-0.59,-0.06,-0.9,-0.49,-0.05,-0.95,-0.49,-0.05,-0.94,-0.49,-0.04,-0.95,-0.48,-0.03,-0.94
Sat Aug  5 21:21:30 2023,0.02,0.63,-0.88,0.03,0.63,-0.89,-1.53,0.58,-0.46,-0.87,0.1,0.1,-1.24,-0.11,-0.15,-0.47,0.02,-0.19,-0.81,0.38,-0.39,-1.31,-0.02,-0.89,-0.63,-0.33,-0.85,-0.62,-0.26,-0.8,-0.63,-0.24,-0.8,-0.63,-0.24,-0.81,-0.61,-0.23,-0.82,-0.62,-0.22,-0.83
Sat Aug  5 21:21:54 2023,-0.24,0.55,-0.87,-0.25,0.58,-0.87,-1.08,0.84,-0.47,-1.06,0.13,0.06,-0.71,0.23,-0.16,-0.88,0.27,-0.23,-0.91,-0.2,-0.39,-1.05,-0.04,-0.06,2,1.2,2,-0.43,-0.32,-0.82,-0.34,-0.17,-1.01,-0.34,-0.18,-1.01,-0.33,-0.17,-1.02,-0.32,-0.17,-1.01
Sat Aug  5 21:22:29 2023,-0.13,0.75,-0.74,-0.13,0.73,-0.76,0.02,0.68,-0.76,-0.86,-0.1,-0.6,-0.92,0.3,0.009999999,-0.73,0.09,-0.03,-0.88,-0.009999999,-0.16,-1.24,-0.51,-0.39,-0.44,0.6,-0.38,-0.53,-0.33,-0.68,-0.53,-0.39,-0.82,-0.51,-0.38,-0.85,-0.51,-0.38,-0.85,-0.5,-0.37,-0.85
Sat Aug  5 21:22:53 2023,-0.86,-0.37,0.17,-1.03,0.22,-0.2,-0.85,0.3,-0.04,-1.03,-0.13,-0.15,-0.13,-0.02,-0.03,-0.3,-0.02,-0.78,-0.23,0.11,-1.06,-0.21,0.12,-1.06,0.39,0.61,0.91,0.9599999,0.38,0.36,0.99,-0.03,-0.4,0.24,0.17,-0.67,-0.56,-0.62,-0.72,-0.42,-0.32,-0.72
Sat Aug  5 21:24:11 2023,-0.02,0.73,-0.81,-0.02,0.72,-0.8,-0.24,0.92,-0.9,-0.64,-0.1,-0.81,-0.89,0.11,-0.21,-1.29,-0.05,-0.34,-0.95,0.009999999,-0.07,-0.83,0.17,-0.15,-0.9,0.22,-0.2,0.28,-1,-1.98,-0.45,-0.77,-0.45,-0.48,-0.72,-0.58,-0.45,-0.74,-0.55,-0.43,-0.76,-0.54
Sat Aug  5 21:24:38 2023,-0.2,0.71,-0.76,-0.21,0.71,-0.76,-0.63,0.13,-0.35,-0.62,-0.21,-0.48,-1.18,0.11,-0.27,-1.04,-0.1,-0.09,-1.21,-0.11,-0.22,-1.12,0.009999999,-0.24,0.05,0.35,-0.46,0.06,0.31,0.68,0.02,-0.4,0.86,0.03,-0.37,0.86,0.03,-0.36,0.87,0.03,-0.35,0.85
Sat Aug  5 21:25:32 2023,0.11,0.67,-0.83,0.1,0.68,-0.83,-0.88,0.55,-0.45,-1.12,0,-0.009999999,-1.02,-0.02,-0.19,-0.87,0.21,-0.17,-1.03,0.36,-0.14,-0.63,0.09,-0.08,0.07,-0.95,0.22,0.09,-0.95,0.26,0.09,-0.94,0.27,0.08,-0.94,0.27,0.09,-0.94,0.28,0.09,-0.92,0.28
Sat Aug  5 21:26:38 2023,-0.08,0.57,-0.93,-0.06,0.63,-0.86,-0.64,0.88,-0.95,-1.09,0.21,-0.03,-1.11,0.38,-0.03,-0.78,0.13,-0.41,-1.69,-0.08,0.17,-0.9599999,0.28,-0.32,-1.11,0.53,-0.82,-0.32,-0.3,0.69,-0.009999999,-0.67,0.65,-0.02,-0.67,0.67,-0.02,-0.66,0.67,-0.57,-0.41,-0.53
